"Google Documents","理財幫手AndroMoney","20260518"
"Id","幣別","金額","分類","子分類","日期","付款(轉出)","收款(轉入)","備註","Periodic","專案","商家(公司)","uid","時間"
"6538","TWD","1500","休閒娛樂","旅行遊玩","20251101","常皮","","黑部立山團五天小費","","","","3253e016b85840febc78e303c5bcd12a","1722"
"6541","TWD","449","休閒娛樂","電玩","20251102","台新信用卡","","世紀帝國4DLC，四個文明預購","","","","5222388faca24fb78e25f2c5efeaa1c1","1851"
"6540","TWD","120","運輸交通","高鐵","20251102","台新信用卡","","桃園機場跟媽一起回家","","","","68c3a7df12dd4bc28447df96e2e917f8","1847"
"6539","TWD","34","運輸交通","捷運","20251102","愛心卡","","出國玩大眾運輸工具跟帳目清理","","","","acb606522844438da6c8b1879316775c","1847"
"6543","TWD","219","帳目整理","帳目整理","20251103","","常皮","","","","","3fae37d8c1d24e3a8e5ff24632a10d84","1947"
"6542","TWD","209","餐飲食品","午餐","20251103","台新銀行","","波奇波奇：羽你相遇系列：雞肉豆腐","","","","0d6e2429589c4ce998ab35566cd388a3","1202"
"6546","TWD","71","餐飲食品","飲料","20251104","台新信用卡","","全脂牛奶，低脂牛奶各一打79折","","","","3a5c9485462b4a20b3ea51c2ad7a8f59","1833"
"6545","TWD","62","休閒娛樂","電玩","20251104","台新信用卡","","deviant art訂閱","","","","642aa962c05a475d984795d16e3d4259","2209"
"6544","TWD","1124","帳目整理","帳目整理","20251104","","常皮","","","","","78c5aaa9b33a408081e1174e9abdc180","1757"
"6551","TWD","200","醫療保健","診所就醫","20251106","常皮","","洗牙 小城堡牙醫診所","","","","cf8bb29b76544bdaaf166222f5908d15","1229"
"6550","TWD","160","費用","帳目整理","20251106","常皮","","","","","","c653c0921a4341bc8e1e676e0bf55c3f","1640"
"6549","TWD","250","餐飲食品","午餐","20251106","常皮","","大無敵烤肉飯：烤雞菲力飯，加30元燒肉，烤牛肉","","","","2e4184c5462c4735bf4f6bdb12fba020","1235"
"6548","TWD","100634","一般收入","公司薪資","20251106","","玉山活存","","","","","9eec6da8d1db4793b6e87399cc42b41d","936"
"6547","TWD","45000","理財投資","股票","20251106","玉山活存","","","","","","931e4ae537c741d2886c4d7febfee5ae","934"
"6553","TWD","490","帳目整理","帳目整理","20251107","","常皮","","","","","9122213d588c4085980796f797216958","1609"
"6552","TWD","219","餐飲食品","午餐","20251107","常皮","","燒肉法國麵包，生春捲","","","","30b88f4c0c6848edb2f86fa0ab8c0c9d","1229"
"6555","TWD","14448","人情交際","孝養父母","20251108","玉山活存","","鰻魚190−優酪乳香蕉199−小籠包235+11月飯錢13000+出國1692（酒550+蘋果派1000）/2+雷鳥巧克力700+超市買晚餐3885元（當作補貼零食錢）=共5360日圓×0.2038，為台幣1092加機場接送1200/2，一共是1692","","","","e0c6edbd6a2641849f407f1f0ca314d2","1829"
"6554","TWD","3894","人情交際","孝養父母","20251108","台新信用卡","","請媽跟弟吃煙波莫內饗宴下午茶","","","","42dce8a710e2481294b55afd0eb5b8fc","1728"
"6557","TWD","106","餐飲食品","晚餐","20251110","台新信用卡","","蔥鹽雞肉沙拉，牛奶x2","","","","471db1eb1f9a450a83945a50bcdebf91","1947"
"6556","TWD","180","餐飲食品","午餐","20251110","常皮","","波奇波奇：自選夏威夷飯（雞肉，糙米生菜各半，鷹嘴豆，鳳梨，番茄，黃瓜，毛豆，甜椒，黎麥，南瓜子）","","","","2051f43fa54146459205b76b5b068aa6","1302"
"6561","TWD","100","帳目整理","帳目整理","20251111","","常皮","","","","","9878c8fe512448488646c3577bd6d554","1147"
"6559","TWD","335","餐飲食品","午餐","20251111","常皮","","奉餡・汁心餃子 - 新竹光復店：椒麻皮蛋麵，酸辣湯，加上周二的午餐錢","","","","babc063f96394e2eb27b269f1728ded3","1235"
"6562","TWD","170","餐飲食品","晚餐","20251112","常皮","","永吉湯包：牛肉捲餅，小黃瓜鴨掌，無糖豆漿","","","","dde6f8cfae804227b883c8ae22f440b0","1225"
"6560","TWD","10000","一般收入","其他","20251112","","台新銀行","政府普發10000","","","","c1c987f0b7ac41e0a58d2492bf88d7e9","1020"
"6563","TWD","390","餐飲食品","午餐","20251113","常皮","","三媽臭臭鍋：香茅咖哩火鍋，加豆皮韭菜牛肉片臭豆腐","","","","f4878fa665734137a42610b7dda75bc5","1221"
"6565","TWD","196","帳目整理","帳目整理","20251114","","常皮","","","","","6a34c99eaadf412d94a5a5dbbf03e0a1","1538"
"6564","TWD","180","餐飲食品","午餐","20251114","常皮","","番茄酸菜牛","","","","016a4049aac649ef91a1a85762df2baf","1538"
"6570","TWD","370","餐飲食品","晚餐","20251115","常皮","","豐原大喜鍋基本吃到飽","","","","05d7ca3e8b5e4dffa5d7b2522eae834e","919"
"6569","TWD","55","汽機車","停車費","20251115","常皮","","","","","","618d44b6b0b949118c9a83eb9e25cbf5","12"
"6568","TWD","70","人情交際","送禮請客","20251115","常皮","","請彥碩中餐部分，補貼他油錢","","","","b9a983a5185746458c4980a37bb67a74","1225"
"6567","TWD","130","餐飲食品","午餐","20251115","常皮","","吉祥肉圓：肉圓，綜合煎","","","","8fe1f028570e45789712902330c84424","1219"
